Player_Name,Team,Position,Games_Played,Minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,three_points,three_points_attempted,Three_points_percentage,Free_throw,Free_throw_attempt,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Total_rebounds,Assists,Steals,Turnovers,Blocks,Personal_fouls,PTS,Playmaking,Shooting,Offense,All_Around,Defense
Devin Ebanks,LAL,SF,19,10.3,1.3,3.8,32.9,0.3,1.2,27.3,0.6,0.7,78.6,0.5,1.6,2.2,0.5,0.2,0.6,0.1,1.2,3.4,-2.588996764,0.418167782,0.726256983,3.473684211,1.9
Devin Harris,ATL,PG,58,24.5,3.3,7.6,43.8,1.3,4,33.5,1.9,2.7,72.7,0.1,1.9,2,3.4,1.1,1.5,0.2,1.8,9.9,3.129251701,0.562656838,0.94641385,11.60344828,3.2
Dion Waiters,CLE,SG,61,28.8,5.5,13.4,41.2,1,3.3,31,2.6,3.5,74.6,0.4,2.1,2.4,3,1,2,0.3,1.9,14.7,0,0.492229685,0.857552581,12.39344262,3.4
Dirk Nowitzki,DAL,PF,52,31.4,6.5,13.7,47.2,1.2,2.9,41.8,3.1,3.7,85.8,0.7,6.2,6.9,2.5,0.7,1.3,0.7,1.8,17.3,1.167728238,0.564985938,1.02739726,20.19230769,7.6
Dominic McGuire,TOR,SF,15,15.3,1,2.1,46.9,0,0,0,0.1,0.4,33.3,0.7,2.5,3.2,0.7,0.3,0.5,0.5,1.7,2.1,-0.217864924,0.461893764,0.744186047,5.6,3.3
Dominique Jones,DAL,SG,29,11.7,1.4,3.8,36.7,0,0.3,11.1,1.2,1.8,66,0.6,0.9,1.6,2.9,0.5,1.3,0.1,1,4,5.413105413,0.436484046,0.666666667,5.965517241,1.5
Donald Sloan,CLE,PG,20,12.9,1.4,3.9,34.6,0.4,1,36.8,1,1.3,80,0.2,1.3,1.4,1.9,0.3,0.7,0,0.9,4.1,4.392764858,0.458407871,0.780952381,4.8,1.6
Donatas Motiejunas,HOU,PF,44,12,2.2,4.8,46.9,0.5,1.9,29.3,0.7,1.2,62.7,0.8,1.3,2,0.6,0.1,0.9,0.3,1.7,5.7,-4.166666667,0.535592352,0.904504505,5.681818182,1.7
Dorell Wright,PHI,SF,80,22.7,3,7.6,39.3,1.7,4.6,37,1.5,1.8,84.8,0.6,3.3,3.9,1.9,0.8,0.8,0.4,1.3,9.2,2.055800294,0.548141087,0.989247312,11.1,4.5
Doron Lamb,ORL,SG,23,11.7,1.1,2.7,41.3,0.4,0.9,47.6,0.5,0.7,68.8,0.2,1,1.2,0.5,0.2,0.4,0,1,3.2,-0.56980057,0.535921205,0.936708861,3.391304348,1.2
Draymond Green,GSW,SF,78,13.5,1.1,3.3,32.7,0.2,0.9,20.9,0.6,0.7,81.8,0.7,2.6,3.3,0.7,0.5,0.6,0.3,2,2.9,-0.987654321,0.401849218,0.681749623,4.987179487,3.4
Dwight Howard,LAL,C,75,35.7,6.2,10.7,57.9,0,0.1,16.7,4.7,9.5,49.2,3.3,9.1,12.5,1.4,1.1,2.9,2.5,3.8,17.2,-5.508870215,0.577584354,0.936479129,32.10666667,12.7
Dwyane Wade,MIA,SG,69,34.6,8.2,15.8,52.1,0.2,1,25.8,4.5,6.1,72.6,1.2,3.7,5,5.1,1.9,2.8,0.8,2,21.2,1.734104046,0.573617515,0.979578172,25.20289855,6.4
